ID,Is_Lead
VBENBARO,0.046443447
CCMEWNKY,0.8538799
VK3KGA9M,0.06569812
TT8RPZVC,0.025326943
SHQZEYTZ,0.023240902
MZZAQMPT,0.10043589
Y88TW36I,0.08803417
3UGOAQNU,0.051610667
VVUKMUJT,0.99525553
9R363ZXS,0.1575211
BLISM6JE,0.051250003
CH8S7JK7,0.24162458
EAHDPXEJ,0.84465504
BNUK9PRF,0.316047
GP2PG6FJ,0.05635106
WNQCSN8A,0.03815249
32DN4YVZ,0.44067776
GXAMDANM,0.05165786
MXETLUP4,0.06754862
MPXK6TVE,0.8516217
LBSIME2K,0.1589536
D6ORJTM6,0.050544422
HGDIBAKA,0.818484
UUZYL9DZ,0.47732246
AUGE3VWK,0.052678794
MX7GOX6Q,0.09817288
TQN6K35W,0.06171184
QQDRMQQN,0.49803093
UP6GC6F4,0.04242277
BMHBUVHB,0.61289465
KGLDW86A,0.16267319
FQEOMOP4,0.1263037
DYWM5MEU,0.18349779
DXHGXV8F,0.0519582
AVFBFQKC,0.17664267
DBIDKYMV,0.13243
KYZHMEBY,0.27398807
SSFEBUGF,0.05700408
MGJTAG8X,0.47799218
MP6BERDO,0.15102275
GXZ8ED68,0.05051423
ICTFGWQR,0.56191134
EAYHTRKH,0.024640441
6FN97QLQ,0.090080135
3H5MZDDW,0.3799671
2DXZZWSN,0.037973832
MM4QIRE5,0.078181386
HJWVYXUA,0.17057905
RBRSJUP3,0.8197458
YFRQKGXW,0.4302121
N3SADEBV,0.043944195
G2A2YYXY,0.046214987
XMGA3WT3,0.060694914
KVZQPSGI,0.18057568
UAKARBBG,0.0421851
WYKKL85Z,0.2386054
GHNYYGRR,0.10965637
UBAJANWT,0.04739682
LSARSF7U,0.019388482
4CNSJVVR,0.24419948
JRHJSWYO,0.30731905
FHZ8SVVI,0.070471115
JUIRE47M,0.8631975
GDIVN2GL,0.054496422
WMF3DYE3,0.80642074
MAQEHEWK,0.17446364
2W8DLKFU,0.05449352
AKGRML6H,0.115412384
B7WUUGCY,0.045810226
TLJOYATM,0.41491234
UH6ZDM3W,0.86031836
7IP5SSRR,0.7808782
PV85PMEB,0.49863675
FGDOY4NI,0.11515499
7YYIXJQE,0.062481556
BHW42XPW,0.05736346
3PKEEAT4,0.28956595
ACFPZ3LM,0.056230057
6GORGNYN,0.8166415
AEPQTMJK,0.24587259
S6FNZFKK,0.049926925
JTYNEKRQ,0.65899754
GPXDPHHC,0.055201884
O8TMKNNB,0.060805596
XSQVHKYG,0.050143275
MJ3CZRAE,0.021406468
3NSQEYBJ,0.4215125
SXVBASGH,0.04789205
5ZIGZYSS,0.040936913
FQSHBCUT,0.34611636
MU45XUBP,0.04554168
BVULDPBI,0.06800185
82GRNPFG,0.8147808
KKBNELBF,0.043231443
HXQGBDGY,0.053588554
28HDZICG,0.5762545
GHBPKPJC,0.044454508
FDWZFSSC,0.85109127
FWTIWZF3,0.05224495
JYMHVPMY,0.03665666
AHUDO2T6,0.8383547
ACDHABS3,0.27602762
5NTYJJDV,0.0664822
2M4VPY4V,0.08732434
KAHP9XLF,0.083317034
YRLEWZFQ,0.109158784
JZWVLXHJ,0.17962797
JZZSXUKT,0.26958993
93RURE2J,0.8681101
4RNB6FDV,0.24694003
27E7HMMG,0.08717469
2QEFQQWN,0.05091342
DDTCD2XI,0.08580111
VGVEYSEG,0.80824363
WCXVE7RK,0.056674305
RTN4R3UE,0.03950569
K2PVS4RB,0.0468318
Q36J686Z,0.09455475
NWKHMEOF,0.1431807
PVJYQQGT,0.2935535
GPUMRNWC,0.050851934
